,City,Location
0,Kathmandu,"('27.708317', '85.3205817')"
1,Port Vila,"('-17.7414972', '168.3150163')"
2,Stockholm,"('59.3251172', '18.0710935')"
3,Belgrade,"('44.8178131', '20.4568974')"
4,Curitiba,"('-25.4295963', '-49.2712724')"
5,Lusaka,"('-15.4164124', '28.2824793')"
6,Luxembourg,"('49.6112768', '6.129799')"
7,Tashkent,"('41.3123363', '69.2787079')"
8,Sofia,"('42.6978634', '23.3221789')"
9,Beirut,"('33.8959203', '35.47843')"
10,San Salvador,"('13.6989939', '-89.1914249')"
11,Canberra,"('1.4464231', '103.828128')"
12,Paramaribo,"('5.8247628', '-55.1703941')"
13,Khartoum,"('15.5635972', '32.5349123')"
14,Bucharest,"('44.4361414', '26.1027202')"
15,Port Louis,"('-20.1624522', '57.5028044')"
16,Tripoli,"('32.896672', '13.1777923')"
17,Nouakchott,"('18.0792379', '-15.9780071')"
18,Andorra la Vella,"('42.5069391', '1.5212467')"
19,Brasília,"('-15.7934036', '-47.8823172')"
20,Nur-Sultan (Astana),
21,Tbilisi,"('41.6934591', '44.8014495')"
22,Windhoek,"('-22.5776104', '17.0772739')"
23,Calgary,"('51.0460954', '-114.065465')"
24,Mbabane,"('-26.325745', '31.144663')"
25,Valletta,"('35.8989818', '14.5136759')"
26,Malé,"('4.1779879', '73.5107387')"
27,Tegucigalpa,"('14.1057433', '-87.2040052')"
28,"Washington, D.C.","('38.8950368', '-77.0365427')"
29,Tehran,"('35.6892523', '51.3896004')"
30,Moroni,"('-11.6931255', '43.2543044')"
31,Moscow,"('55.7504461', '37.6174943')"
32,Tallinn,"('59.4372155', '24.7453688')"
33,Roseau,"('15.2991923', '-61.3872868')"
34,Bridgetown,"('13.0977832', '-59.6184184')"
35,Thimphu,"('27.4713546', '89.6336729')"
36,Vilnius,"('54.6870458', '25.2829111')"
37,Suva,"('-18.1415884', '178.4421662')"
38,Santiago,"('-33.4377756', '-70.6504502')"
39,Kyiv,"('50.4500336', '30.5241361')"
40,Kinshasa,"('-4.3217055', '15.3125974')"
41,Doha,"('25.2856329', '51.5264162')"
42,Conakry,"('9.5170602', '-13.6998434')"
43,Budapest,"('47.4979937', '19.0403594')"
44,Hyderabad,"('17.360589', '78.4740613')"
45,N'Djamena,"('12.1191543', '15.0502758')"
46,Basseterre,"('17.2960919', '-62.722301')"
47,Kuwait,"('29.3797091', '47.9735629')"
48,Copenhagen,"('55.6867243', '12.5700724')"
49,Pretoria,"('-25.7459277', '28.1879101')"
50,Mexico City,"('19.4326296', '-99.1331785')"
51,Lima,"('-12.0621065', '-77.0365256')"
52,Oslo,"('59.9133301', '10.7389701')"
53,Bratislava,"('48.1516988', '17.1093063')"
54,Beijing,"('39.906217', '116.3912757')"
55,Riga,"('56.9493977', '24.1051846')"
56,Sanaʽa,"('15.3538569', '44.2058841')"
57,La Rinconada,"('37.4867198', '-5.9814868')"
58,Apia,"('-13.8343691', '-171.7692793')"
59,Warsaw,"('52.2319581', '21.0067249')"
60,Dakar,"('14.693425', '-17.447938')"
61,P'yongyang,"('39.0167979', '125.7473609')"
62,Damascus,"('33.5130695', '36.3095814')"
63,Algiers,"('36.7753606', '3.0601882')"
64,Vaiaku,"('-8.5254131', '179.1945328')"
65,Podgorica,"('42.4415238', '19.2621081')"
66,Nassau,"('25.0783456', '-77.3383331')"
67,Kigali,"('-1.950851', '30.061507')"
68,Kunming,"('24.8843019', '102.8324209')"
69,Ljubljana,"('46.0500268', '14.5069289')"
70,Bern,"('46.9482713', '7.4514512')"
71,Islamabad,"('33.6938118', '73.0651511')"
72,Reykjavík,"('64.145981', '-21.9422367')"
73,Kuala Lumpur,"('3.1516964', '101.6942371')"
74,Bogota,"('4.6533326', '-74.083652')"
75,Vientiane,"('17.9640988', '102.6133707')"
76,Vatican City,"('41.9034912', '12.4528349')"
77,Yaren,"('-0.5471014', '166.9164002')"
78,Brussels,"('50.8465573', '4.351697')"
79,Djibouti,"('11.5936903', '43.1472724')"
80,Cairo,"('30.0443879', '31.2357257')"
81,Bissau,"('11.861324', '-15.583055')"
82,Pavlodar,"('52.2857573', '76.9455035')"
83,Lilongwe,"('-13.9875107', '33.768144')"
84,Monrovia,"('6.328034', '-10.797788')"
85,Cusco,"('-13.5170887', '-71.9785356')"
86,New Delhi,"('28.6138954', '77.2090057')"
87,Bamyan,"('34.8223804', '67.8368338')"
88,Rabat,"('34.022405', '-6.834543')"
89,Muscat,"('23.61515', '58.5912467')"
90,La Paz,"('-16.4955455', '-68.1336229')"
91,Guadalajara,"('20.6720375', '-103.338396')"
92,Gaborone,"('-24.6581357', '25.9088474')"
93,Jakarta,"('-6.1753942', '106.827183')"
94,Seoul,"('37.5666791', '126.9782914')"
95,Yerevan,"('40.1776245', '44.5126174')"
96,Belmopan,"('17.250199', '-88.770018')"
97,Banjul,"('13.4410165', '-16.56275092072591')"
98,Skardu,"('35.2875284', '75.6074375')"
99,Dushanbe,"('38.5425835', '68.81521423589763')"
100,Ankara,"('39.9207886', '32.8540482')"
101,Port Moresby,"('-9.4743301', '147.1599504')"
102,Bangkok,"('13.7525438', '100.4934734')"
103,Amman,"('31.9515694', '35.9239625')"
104,San Marino,"('43.9363996', '12.4466991')"
105,Puno,"('-15.8405962', '-70.0279512')"
106,Visakhapatnam,"('17.7231276', '83.3012842')"
107,Bishkek,"('42.8765615', '74.6070079')"
108,Amsterdam,"('52.3727598', '4.8936041')"
109,Lome,"('6.130419', '1.215829')"
110,Baghdad,"('33.3024309', '44.3787992')"
111,Phnom Penh,"('11.568271', '104.9224426')"
112,Manila,"('14.5948914', '120.9782618')"
113,Madrid,"('40.4167047', '-3.7035825')"
114,Monaco,"('43.7311424', '7.4197576')"
115,Port-au-Prince,"('18.547327', '-72.3395928')"
116,Skopje,"('41.9960924', '21.4316495')"
117,Lhasa,"('29.6553895', '91.1704736')"
118,Denver,"('39.7392364', '-104.9848623')"
119,Kampala,"('0.3177137', '32.5813539')"
120,Gitega,"('-3.4284953', '29.9249718')"
121,Tokyo,"('35.6828387', '139.7594549')"
122,Da Lat,"('11.9402416', '108.4375758')"
123,Sao Tomé,"('0.3389242', '6.7313031')"
124,Abu Dhabi,"('24.4538352', '54.3774014')"
125,Bangalore,"('12.9767936', '77.590082')"
126,Sri Jayawardenapura-Kotte,"('6.8883219', '79.9187415')"
127,Chennai,"('13.0836939', '80.270186')"
128,Bogotá,"('4.6533326', '-74.083652')"
129,Juba,"('4.8472017', '31.5951655')"
130,Dublin,"('53.3497645', '-6.2602732')"
131,Honiara,"('-9.4310769', '159.9552552')"
132,Ho Chi Minh City,"('10.7715512', '106.6983801')"
133,Bairiki,"('1.3296193', '172.9777542')"
134,Dodoma,"('-6.1791181', '35.7468174')"
135,Edmonton,"('53.535411', '-113.507996')"
136,Castries,"('43.6779101', '3.9868904')"
137,Saint John's,"('17.1184569', '-61.8448509')"
138,Ouagadougou,"('12.3681873', '-1.5270944')"
139,Praia,"('14.9162811', '-23.5095095')"
140,Majuro,"('7.0909924', '171.3816354')"
141,Yamoussoukro,"('6.809107', '-5.273263')"
142,Vienna,"('48.2083537', '16.3725042')"
143,Bandar Seri Begawan,"('4.8895453', '114.9417574')"
144,Chișinău,"('47.0245117', '28.8322923')"
145,Baku,"('40.3754434', '49.8326748')"
146,Addis Ababa,"('9.0107934', '38.7612525')"
147,Berlin,"('52.5170365', '13.3888599')"
148,Johannesburg,"('-26.205', '28.049722')"
149,Accra,"('5.5571096', '-0.2012376')"
150,Hanoi,"('21.0294498', '105.8544441')"
151,East Jerusalem and Ramallah[Note 1],
152,Malabo,"('3.752828', '8.780061')"
153,Kabul,"('34.5260109', '69.1776838')"
154,Freetown,"('8.479004', '-13.26795')"
155,Maseru,"('-29.310054', '27.478222')"
156,Managua,"('12.1459907', '-86.2746665')"
157,Wellington,"('-41.2887953', '174.7772114')"
158,Panama City,"('8.9714493', '-79.5341802')"
159,Porto-Novo,"('6.4990718', '2.6253361')"
160,Singapore,"('1.2899175', '103.8519072')"
161,Ottawa,"('45.3969506', '-75.6851593')"
162,Washington D.C.,"('38.8950368', '-77.0365427')"
163,El Alto,"('-16.5048228', '-68.1624337')"
164,Helsinki,"('60.1674881', '24.9427473')"
165,Lisbon,"('38.7077507', '-9.1365919')"
166,Rome,"('41.8933203', '12.4829321')"
167,Buenos Aires,"('-34.6075682', '-58.4370894')"
168,Kingstown,"('13.1561864', '-61.2279621')"
169,Abuja,"('9.0643305', '7.4892974')"
170,Port of Spain,"('10.6572678', '-61.5180173')"
171,Guatemala City,"('14.6222328', '-90.5185188')"
172,São Paulo,"('-23.5506507', '-46.6333824')"
173,San José,"('9.9325427', '-84.0795782')"
174,Bloemfontein,"('-29.116395', '26.215496')"
175,Asmara,"('15.3389667', '38.9326763')"
176,Santo Domingo,"('18.4801972', '-69.942111')"
177,Minsk,"('53.9024716', '27.5618225')"
178,Athens,"('37.9839412', '23.7283052')"
179,Nairobi,"('-1.2832533', '36.8172449')"
180,Yaoundé,"('3.8689867', '11.5213344')"
181,Victoria,"('48.4283182', '-123.3649533')"
182,Nuku'alofa,"('-21.1343401', '-175.201808')"
183,Palikir,"('6.920744', '158.1627143')"
184,Nicosia,"('35.1748976', '33.3638568')"
185,Montevideo,"('-34.9058916', '-56.1913095')"
186,Harare,"('-17.831773', '31.045686')"
187,Luanda,"('-8.8272699', '13.2439512')"
188,Tirana,"('41.3281482', '19.8184435')"
189,Dili,"('-8.5536809', '125.5784093')"
190,Ulaanbaatar,"('47.9184676', '106.9177016')"
191,Belo Horizonte,"('-19.9227318', '-43.9450948')"
192,Sana'a,"('15.3538569', '44.2058841')"
193,Zagreb,"('45.8131847', '15.9771774')"
194,Toluca,"('19.292545', '-99.6569007')"
195,Vaduz,"('47.1392862', '9.5227962')"
196,Shanghai,"('31.2322758', '121.4692071')"
197,Libreville,"('0.390002', '9.454001')"
198,Mogadishu,"('2.0349312', '45.3419183')"
199,Pokhara,"('28.209538', '83.991402')"
200,Georgetown,"('6.8137426', '-58.1624465')"
201,Tunis,"('36.8002068', '10.1857757')"
202,Caracas,"('10.506098', '-66.9146017')"
203,Jerusalem,"('31.79592425', '35.21198075969497')"
204,Baguio,"('16.4119945', '120.5933729')"
205,Dhaka,"('23.7861979', '90.4026151')"
206,Bangui,"('4.3907153', '18.5509126')"
207,Quito,"('-0.2201641', '-78.5123274')"
208,Sarajevo,"('43.8519774', '18.3866868')"
209,Albuquerque,"('35.0841034', '-106.650985')"
210,Brazzaville,"('-4.2694407', '15.2712256')"
211,Asunción,"('-25.2800459', '-57.6343814')"
212,Riyadh,"('24.638916', '46.7160104')"
213,Naypyidaw,"('19.7540045', '96.1344976')"
214,Butwal,"('27.6827731', '83.44386204928969')"
215,Maputo,"('-25.966213', '32.56745')"
216,Prague,"('50.0874654', '14.4212535')"
217,Kingston,"('17.9712148', '-76.7928128')"
218,Bamako,"('12.649319', '-8.000337')"
219,Ngerulmud,"('7.5006446', '134.6242864')"
220,Havana,"('23.135305', '-82.3589631')"
221,London,"('51.5073219', '-0.1276474')"
222,Manama,"('26.2235041', '50.5822436')"
223,Milan,"('45.4641943', '9.1896346')"
224,Saint George's,"('12.0535331', '-61.751805')"
225,Ashgabat,"('37.9404648', '58.3823487')"
226,Antananarivo,"('-18.9100122', '47.5255809')"
227,Paris,"('48.8588897', '2.3200410217200766')"
228,Srinagar,"('34.0747444', '74.8204443')"
229,Niamey,"('13.524834', '2.109823')"
